id,index_code,isin,ticker,name,weight,shares,effective_date,ingested_at
88,BITA-TECH50,US02079K3059,GOOGL,Alphabet Inc Class A,8.5106,15218366,2026-01-02,2026-09-21 18:57:54.981659+02:00
92,BITA-TECH50,US0846707026,BRK.B,Berkshire Hathaway Inc,15.0087,6600827,2026-01-02,2026-09-21 18:57:54.981659+02:00
86,BITA-TECH50,US30303M1027,META,Meta Platforms Inc,21.7153,27303314,2026-01-02,2026-09-21 18:57:54.981659+02:00
91,BITA-TECH50,US4370761029,HD,Home Depot Inc,8.4672,33619287,2026-01-02,2026-09-21 18:57:54.981659+02:00
89,BITA-TECH50,US478160104,JPM,JPMorgan Chase & Co,8.1398,9783286,2026-01-02,2026-09-21 18:57:54.981659+02:00
87,BITA-TECH50,US5949181045,MSFT,Microsoft Corp,12.4533,24793170,2026-01-02,2026-09-21 18:57:54.981659+02:00
85,BITA-TECH50,US67066G1040,NVDA,NVIDIA Corp,11.1682,39660231,2026-01-02,2026-09-21 18:57:54.981659+02:00
90,BITA-TECH50,US88160R1014,TSLA,Tesla Inc,14.5369,34693730,2026-01-02,2026-09-21 18:57:54.981659+02:00
60,BITA100,US02079K3059,GOOGL,Alphabet Inc Class A,7.1014,19169062,2026-01-02,2026-09-21 18:57:54.981659+02:00
62,BITA100,US0231351067,AMZN,Amazon.com Inc,3.439,11214555,2026-01-02,2026-09-21 18:57:54.981659+02:00
57,BITA100,US0378331005,AAPL,Apple Inc,4.5905,15293519,2026-01-02,2026-09-21 18:57:54.981659+02:00
59,BITA100,US30303M1027,META,Meta Platforms Inc,3.5012,40044950,2026-01-02,2026-09-21 18:57:54.981659+02:00
58,BITA100,US4370761029,HD,Home Depot Inc,10.977,30645908,2026-01-02,2026-09-21 18:57:54.981659+02:00
61,BITA100,US478160104,JPM,JPMorgan Chase & Co,12.5676,936124,2026-01-02,2026-09-21 18:57:54.981659+02:00
64,BITA100,US5801351017,MA,Mastercard Inc,15.3229,28861172,2026-01-02,2026-09-21 18:57:54.981659+02:00
56,BITA100,US5949181045,MSFT,Microsoft Corp,19.9423,28653498,2026-01-02,2026-09-21 18:57:54.981659+02:00
63,BITA100,US88160R1014,TSLA,Tesla Inc,6.7239,47351341,2026-01-02,2026-09-21 18:57:54.981659+02:00
1,BITA100,US92826C8394,V,Visa Inc,15.8342,37070403,2026-01-02,2026-09-21 18:56:17.756924+02:00
96,BITA-TECH50,US0231351067,AMZN,Amazon.com Inc,7.7616,23328789,2026-04-01,2026-09-21 18:57:54.981659+02:00
94,BITA-TECH50,US0378331005,AAPL,Apple Inc,14.3589,18406335,2026-04-01,2026-09-21 18:57:54.981659+02:00
100,BITA-TECH50,US1912161007,KO,Coca-Cola Co,5.1404,11113787,2026-04-01,2026-09-21 18:57:54.981659+02:00
98,BITA-TECH50,US4370761029,HD,Home Depot Inc,20.9959,20196460,2026-04-01,2026-09-21 18:57:54.981659+02:00
93,BITA-TECH50,US5801351017,MA,Mastercard Inc,10.3156,36535468,2026-04-01,2026-09-21 18:57:54.981659+02:00
95,BITA-TECH50,US5949181045,MSFT,Microsoft Corp,11.9105,43514218,2026-04-01,2026-09-21 18:57:54.981659+02:00
99,BITA-TECH50,US67066G1040,NVDA,NVIDIA Corp,15.9753,29676602,2026-04-01,2026-09-21 18:57:54.981659+02:00
97,BITA-TECH50,US92826C8394,V,Visa Inc,13.5418,7986139,2026-04-01,2026-09-21 18:57:54.981659+02:00
68,BITA100,US02079K3059,GOOGL,Alphabet Inc Class A,10.5008,47783015,2026-04-01,2026-09-21 18:57:54.981659+02:00
67,BITA100,US0231351067,AMZN,Amazon.com Inc,11.4206,13404268,2026-04-01,2026-09-21 18:57:54.981659+02:00
73,BITA100,US0378331005,AAPL,Apple Inc,11.6854,19920497,2026-04-01,2026-09-21 18:57:54.981659+02:00
69,BITA100,US1912161007,KO,Coca-Cola Co,8.2012,5167767,2026-04-01,2026-09-21 18:57:54.981659+02:00
66,BITA100,US30303M1027,META,Meta Platforms Inc,9.0033,39245446,2026-04-01,2026-09-21 18:57:54.981659+02:00
71,BITA100,US478160104,JPM,JPMorgan Chase & Co,6.327,44876630,2026-04-01,2026-09-21 18:57:54.981659+02:00
74,BITA100,US5801351017,MA,Mastercard Inc,9.1791,5854748,2026-04-01,2026-09-21 18:57:54.981659+02:00
70,BITA100,US5949181045,MSFT,Microsoft Corp,13.3933,3575222,2026-04-01,2026-09-21 18:57:54.981659+02:00
72,BITA100,US67066G1040,NVDA,NVIDIA Corp,8.389,15793994,2026-04-01,2026-09-21 18:57:54.981659+02:00
65,BITA100,US88160R1014,TSLA,Tesla Inc,11.9003,24768915,2026-04-01,2026-09-21 18:57:54.981659+02:00
107,BITA-TECH50,US0231351067,AMZN,Amazon.com Inc,11.7875,8007315,2026-07-01,2026-09-21 18:57:54.981659+02:00
102,BITA-TECH50,US0378331005,AAPL,Apple Inc,7.6907,538379,2026-07-01,2026-09-21 18:57:54.981659+02:00
101,BITA-TECH50,US0846707026,BRK.B,Berkshire Hathaway Inc,17.4182,36091432,2026-07-01,2026-09-21 18:57:54.981659+02:00
105,BITA-TECH50,US30303M1027,META,Meta Platforms Inc,5.2148,33289774,2026-07-01,2026-09-21 18:57:54.981659+02:00
103,BITA-TECH50,US4370761029,HD,Home Depot Inc,13.4806,40694490,2026-07-01,2026-09-21 18:57:54.981659+02:00
106,BITA-TECH50,US4781601046,JNJ,Johnson & Johnson,15.5816,1807062,2026-07-01,2026-09-21 18:57:54.981659+02:00
104,BITA-TECH50,US5801351017,MA,Mastercard Inc,12.9709,22253744,2026-07-01,2026-09-21 18:57:54.981659+02:00
108,BITA-TECH50,US5949181045,MSFT,Microsoft Corp,15.8557,24859226,2026-07-01,2026-09-21 18:57:54.981659+02:00
76,BITA100,US02079K3059,GOOGL,Alphabet Inc Class A,6.3364,46681767,2026-07-01,2026-09-21 18:57:54.981659+02:00
82,BITA100,US0231351067,AMZN,Amazon.com Inc,4.7768,15871155,2026-07-01,2026-09-21 18:57:54.981659+02:00
80,BITA100,US0846707026,BRK.B,Berkshire Hathaway Inc,4.8933,22262245,2026-07-01,2026-09-21 18:57:54.981659+02:00
79,BITA100,US30303M1027,META,Meta Platforms Inc,11.4882,46443684,2026-07-01,2026-09-21 18:57:54.981659+02:00
84,BITA100,US4370761029,HD,Home Depot Inc,17.2158,21669695,2026-07-01,2026-09-21 18:57:54.981659+02:00
